Tỉnh/Thành phố,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sơ bộ 2023
Bình Thuận,"45,90","56,20","61,80","43,80","46,40","49,70","56,60","61,40","67,40","40,00","33,50","106,22","181,30"
Tây Nguyên,"83,90","61,50","84,40","88,20","109,20","105,30","120,00","128,10","145,10","62,70","51,00","157,63","230,48"
Kon Tum,"1,40","2,20","2,00","2,80","3,00","2,20","2,60","2,80","3,20","1,50","0,86","6,07","11,82"
Gia Lai,"11,20","20,30","22,30","25,30","26,20","25,60","28,40","30,80","33,20","9,10","10,30","34,95","74,62"
Đắk Lắk,"8,50","2,50","23,10","27,10","31,80","37,80","43,40","46,50","53,40","34,40","22,26","51,00","62,81"
Đắk Nông,"0,50","0,30","0,30","0,20","1,00","0,60","0,70","0,70","0,70","0,30","1,20","9,84","18,31"
Lâm Đồng,"62,30","36,20","36,70","32,80","47,20","39,10","44,90","47,30","54,60","17,40","16,39","55,77","62,92"
Đông Nam Bộ,"10.012,10","13.505,80","15.358,80","17.092,90","18.797,10","19.560,40","22.094,20","24.773,70","27.468,70","8.264,80","3.501,92","19.060,62","30.249,89"
Bình Phước,"2,30","0,90","3,00","4,10","5,50","12,40","13,70","13,90","18,20","3,40","2,81","9,98","26,44"
Tây Ninh,"16,80","9,20","15,40","22,50","17,90","19,00","20,20","20,80","22,40","9,40","4,42","7,38","26,66"
Bình Dương,"152,70","205,60","198,70","30,90","26,70","77,30","85,90","101,20","126,80","45,80","35,59","287,59","304,25"
Đồng Nai,"27,40","69,70","62,40","68,30","73,10","91,40","99,20","104,50","113,50","52,80","21,59","41,33","137,68"
Bà Rịa - Vũng Tàu,"305,80","170,90","228,70","195,20","217,60","263,30","294,70","314,40","353,30","156,70","86,89","174,33","362,17"
TP. Hồ Chí Minh,"9.507,10","13.049,50","14.850,60","16.771,90","18.456,30","19.097,00","21.580,50","24.218,90","26.834,50","7.996,70","3.350,62","18.540,00","29.392,69"
Đồng bằng sông Cửu Long,"264,80","381,30","437,00","454,00","512,40","737,50","824,80","902,70","1.000,80","457,70","314,09","1.891,56","3.409,17"
Long An,"5,40","9,90","12,00","14,00","14,00","33,40","35,50","38,10","39,50","21,90","16,46","48,85","80,94"
Tiền Giang,"28,60","49,80","48,10","54,40","61,40","98,40","107,50","115,10","127,10","33,10","6,86","131,00","371,48"
Bến Tre,"22,80","35,10","42,30","46,60","50,50","57,40","60,90","65,00","72,20","45,10","24,23","74,00","232,01"
Trà Vinh,"5,50","8,60","6,10","8,80","18,40","21,60","22,60","23,90","27,60","16,10","13,87","30,85","73,79"
Vĩnh Long,"15,00","18,30","19,90","28,80","29,10","36,70","38,00","40,30","43,50","24,60","15,93","177,74","360,03"
Đồng Tháp,"10,10","13,50","17,00","20,60","27,60","33,10","36,20","39,70","43,70","16,00","8,51","23,81","47,55"
An Giang,"37,90","27,30","35,60","19,80","26,30","35,50","37,60","42,80","47,30","15,80","8,57","134,00","175,48"
Kiên Giang,"27,20","32,80","79,40","95,50","137,70","239,60","287,50","316,50","348,80","186,00","166,30","874,26","1.474,31"
Cần Thơ,"102,60","174,10","160,80","150,20","131,30","153,60","168,50","189,00","214,20","64,30","35,90","331,88","397,92"
Hậu Giang,..,..,"4,00","2,60","1,60","1,20","1,20","0,02",..,..,..,"0,54",..
Sóc Trăng,"1,30","1,30","0,50","0,70","0,80","8,20","9,10","10,20","11,40","7,80","3,68","21,91","62,46"
Bạc Liêu,..,..,..,..,..,"3,00","3,40","4,40","5,00","4,40","2,33","13,43","38,31"
Cà Mau,"8,40","10,60","11,30","12,00","13,70","15,80","16,80","17,70","20,50","22,60","11,45","29,30","94,88"
