GDP Data
"Viet Nam (2020)
346.62 Billion"
"Viet Nam (2021)
366.47 Billion"
"Viet Nam (2021)
366.47 Billion"
"Viet Nam (2022)
410.32 Billion"
"Viet Nam (2022)
410.32 Billion"
"Viet Nam (2022)
410.32 Billion"
"Viet Nam (2023)
429.72 Billion"
