Năm,Tháng,Chỉ tiêu,Ước tính mỗi tháng,Tổng lượt khách cả năm,So với tháng trước (%),So sánh tháng này ở năm trước(%),So sánh tổng lượt khách với cùng kỳ năm trước (%),,
2019,t3,Hàn Quốc,335.612,1.107.794,"87,6","123,0","124,1",,
2019,t3,Ấn Độ,12.595,38.298,"110,7","126,9","120,3",,
2019,t3,Indonesia,8.379,24.366,"135,7","125,7","117,2",,
2019,t3,Hồng Kông,5.467,16.451,"117,3","112,1","116,1",,
2019,t3,Malaysia,52.113,143.629,"120,2","123,1","111,1",,
2019,t3,Nhật Bản,82.533,233.355,"116,5","106,2","108,3",,
2019,t3,Singapore,24.651,68.259,"133,7","110,8","100,7",,
2019,t3,Trung Quốc,391.185,1.281.073,"75,8","86,0","94,4",,
2019,t3,Lào,7.869,26.570,"66,1","48,9","77,6",,
2019,t3,Campuchia,10.774,33.991,"78,7","48,9","50,2",,
2019,t3,Các thị trường khác thuộc châu Á,12.822,42.795,"94,6","103,6","103,1",,
2019,t3,Hoa Kỳ,61.619,219.700,"79,6","110,3","107,9",,
2019,t3,Canada,17.212,53.765,"89,7","111,9","105,6",,
2019,t3,Các thị trường khác thuộc châu Mỹ,6.014,19.994,"89,9","109,4","92,7",,
2019,t3,Na Uy,2.494,9.388,"65,1","112,3","112,9",,
2019,t3,Thụy sĩ,3.298,11.807,"83,2","111,0","111,4",,
2019,t3,Đan mạch,5.264,16.962,"84,4","110,4","110,8",,
2019,t3,Thụy Điển,6.643,27.969,"65,9","113,6","110,4",,
2019,t3,Ý,7.387,22.927,"108,6","121,9","110,3",,
2019,t3,Tây Ban Nha,4.115,12.538,"107,5","106,3","106,3",,
2019,t3,Đức,26.384,72.211,"110,0","109,0","106,2",,
2019,t3,Nga,68.880,215.618,"97,3","111,1","106,2",,
2019,t3,Hà Lan,6.746,20.695,"95,3","110,8","105,4",,
2019,t3,Vương quốc Anh,29.367,89.879,"94,8","101,8","104,7",,
2019,t3,Pháp,32.185,87.322,"114,4","106,7","104,1",,
2019,t3,Bỉ,2.549,7.650,"100,5","104,6","101,0",,
2019,t3,Phần Lan,3.081,11.594,"79,7","94,4","94,3",,
2019,t3,Các thị trường khác thuộc châu Âu,25.349,78.675,"94,3","117,0","107,3",,
2019,t3,New Zealand,2.856,10.551,"104,8","111,0","102,9",,
2019,t3,Úc,27.899,108.522,"92,1","106,5","100,0",,
2019,t3,Các thị trường khác thuộc châu Úc,100,254,"137,0","138,9","82,2",,
2019,t3,Các thị trường khác thuộc châu Phi,3.319,11.701,"95,5","103,4","105,7",,
2019,Tổng cộng,Tổng số,1.468.766,5.968.880,"104,2","109,5","107,6",,
2019,t4,1. Đường không,1.157.767,4.674.030,"105,9","108,3","105,4",,
2019,t4,2. Đường biển,44.432,119.466,"220,5","199,4","84,1",,
2019,t4,3. Đường bộ,266.567,1.175.384,"89,7","106,3","121,1",,
2019,t4,Thái Lan,50.189,174.777,"112,5","140,1","146,5",,
2019,t4,Indonesia,12.174,36.540,"145,3","161,8","129,1",,
2019,t4,Đài Loan,77.215,284.310,"118,1","122,5","125,0",,
2019,t4,Philippines,16.004,58.132,"119,2","123,6","124,4",,
2019,t4,Hàn Quốc,338.085,1.445.879,"100,7","120,2","123,2",,
2019,t4,Ấn Độ,13.114,51.412,"104,1","113,1","118,3",,
2019,t4,Malaysia,61.834,205.463,"118,7","128,0","115,7",,
2019,t4,Nhật Bản,69.449,302.804,"84,1","107,9","108,2",,
2019,t4,Hồng Kông,2.949,19.400,"53,9","72,9","106,5",,
2019,t4,Singapore,26.242,94.501,"106,5","109,8","103,1",,
2019,t4,Trung Quốc,426.746,1.707.819,"109,1","101,7","96,2",,
2019,t4,Lào,7.763,34.333,"98,7","95,6","81,1",,
2019,t4,Campuchia,12.844,46.835,"119,2","71,5","54,6",,
2019,t4,Các thị trường khác thuộc châu Á,17.462,60.257,"136,2","103,1","103,1",,
2019,t4,Hoa Kỳ,61.296,280.996,"99,5","102,5","106,7",,
2019,t4,Canada,14.364,68.129,"83,5","98,9","104,1",,
2019,t4,Các thị trường khác thuộc châu Mỹ,6.203,26.197,"103,1","91,4","92,4",,
2019,t4,Đan mạch,4.483,21.445,"85,2","117,4","112,1",,
2019,t4,Thụy sĩ,4.187,15.994,"127,0","114,0","112,1",,
2019,t4,Na Uy,2.646,12.034,"106,1","104,8","111,0",,
